i     |               X Real          X Imaginary  |        Error Real   Error Imaginary
0     |  1003.99175400000001     0.00000000000000  |  -0.0000000006954   0.0000000001955
1     |    13.61019367386054    -4.07016462100762  |  -0.0000000005299   0.0000000001998
2     |     5.33777250535246    -2.59618104364072  |  -0.0000000005885   0.0000000001950
3     |   -17.13822275293026    -8.17171154271484  |  -0.0000000004787   0.0000000001997
4     |   -23.74868034325690    11.99462041323218  |  -0.0000000005278   0.0000000001943
5     |    -1.76736872853972    -3.15847765054413  |  -0.0000000004460   0.0000000001986
6     |     1.90905230024966    -3.38810568830649  |  -0.0000000004877   0.0000000001951
7     |   -12.47197201737293   -12.03766507655615  |  -0.0000000004193   0.0000000002000
8     |     2.86971328691977    -4.48296234157263  |  -0.0000000004541   0.0000000001940
9     |    -0.36235045918208    -9.09842971875068  |  -0.0000000003991   0.0000000001986
10    |    -4.80200671613154    -6.86192767409652  |  -0.0000000004285   0.0000000001948
11    |     8.10843353311511     8.98911032264404  |  -0.0000000003805   0.0000000001968
12    |   -10.78875857255684    16.21300485266972  |  -0.0000000004082   0.0000000001947
13    |    14.46391565064355   -17.79379520511044  |  -0.0000000003645   0.0000000001960
14    |    -4.27986077075814     4.62020017023403  |  -0.0000000003917   0.0000000001954
15    |   -15.88946512845524    11.18519984270275  |  -0.0000000003478   0.0000000001973
16    |    -7.05994612375758     8.97382840265614  |  -0.0000000003743   0.0000000001907
17    |     4.25777385943913    -9.57769523167251  |  -0.0000000003393   0.0000000001966
18    |     9.45782616040254     2.62414280679313  |  -0.0000000003593   0.0000000001935
19    |    -8.81782822474892    -4.25831940825477  |  -0.0000000003250   0.0000000001929
20    |   -10.03623256610600     2.40299611730756  |  -0.0000000003519   0.0000000001899
21    |    -9.57156978564677    -0.47177305536979  |  -0.0000000003178   0.0000000001987
22    |     6.09052034169108    11.87346031967461  |  -0.0000000003359   0.0000000001914
23    |    -0.15370832401641    11.44294437578512  |  -0.0000000003077   0.0000000001980
24    |    13.75218118353059     1.00088372280576  |  -0.0000000003212   0.0000000001911
25    |   -18.96929685425530    -5.62857749946246  |  -0.0000000002979   0.0000000001918
26    |    19.32468077854384     8.58070484041166  |  -0.0000000003150   0.0000000001901
27    |    18.46697556930041    -9.54931887672960  |  -0.0000000002882   0.0000000001916
28    |    -0.25049144096693    -3.82466397988800  |  -0.0000000003065   0.0000000001847
29    |    -4.16780859973343   -16.15156431766471  |  -0.0000000002885   0.0000000001890
30    |     3.44893272104303   -16.26273155498778  |  -0.0000000003032   0.0000000001935
31    |     2.45340505567793     1.52310427288247  |  -0.0000000002735   0.0000000001941
32    |    -5.63572439811125     0.83031291460648  |  -0.0000000002907   0.0000000001880
33    |    11.79119919586098    13.33796433595818  |  -0.0000000002677   0.0000000001885
34    |     2.53403104617090     5.50024680659912  |  -0.0000000002898   0.0000000001852
35    |     6.52366828152440    -9.58012165838134  |  -0.0000000002648   0.0000000001934
36    |     8.22758973503677     9.64612741956481  |  -0.0000000002834   0.0000000001867
37    |     1.20133615474526    -7.17288930778920  |  -0.0000000002592   0.0000000001999
38    |    -2.32567361695571    -5.76059680998935  |  -0.0000000002690   0.0000000001876
39    |    11.02027588560002     6.87456516262929  |  -0.0000000002526   0.0000000001977
40    |    13.47106703391882     8.18249309455154  |  -0.0000000002566   0.0000000001884
41    |   -10.69291177738187    -2.16572967449301  |  -0.0000000002429   0.0000000001877
42    |    -3.41216746258433    12.40609003717312  |  -0.0000000002568   0.0000000001803
43    |    -9.68136141021885    12.60372848787295  |  -0.0000000002468   0.0000000001891
44    |     4.64313678260136     1.39094806753820  |  -0.0000000002500   0.0000000001858
45    |    -7.30333929927101    -9.59921819360764  |  -0.0000000002431   0.0000000001827
46    |     9.03351131412902     0.01760798402165  |  -0.0000000002559   0.0000000001933
47    |    -8.95198446324776    -2.47135470309165  |  -0.0000000002287   0.0000000001935
48    |    -1.97843878748679   -10.81542548518460  |  -0.0000000002442   0.0000000001857
49    |    -1.26662052930275    -7.71192377718477  |  -0.0000000002283   0.0000000001915
50    |   -17.26801660386139    -8.84715510157578  |  -0.0000000002400   0.0000000001892
51    |    -6.20278619047109    -5.53732946207137  |  -0.0000000002186   0.0000000001948
52    |     5.74179172534684    -2.78135841990199  |  -0.0000000002273   0.0000000001828
53    |    20.85090045716655    -0.13964305267483  |  -0.0000000002187   0.0000000001826
54    |   -16.16006996778421     4.28862817341067  |  -0.0000000002379   0.0000000001848
55    |   -20.80162198527942   -15.61969137501640  |  -0.0000000002124   0.0000000001977
56    |    -5.88943604659842    -6.62378017556095  |  -0.0000000002242   0.0000000001806
57    |     1.17463909861382     4.72754401305455  |  -0.0000000002108   0.0000000001990
58    |    -5.41284312381509     1.55002100653895  |  -0.0000000002087   0.0000000001743
59    |    11.52129733392317     0.36433401721151  |  -0.0000000002235   0.0000000001844
60    |     2.69080135892624    -4.44503153165897  |  -0.0000000002179   0.0000000001949
61    |    -5.27056522454519    -7.28362513847033  |  -0.0000000002060   0.0000000001972
62    |    -3.77549669926971     0.27509724357805  |  -0.0000000001988   0.0000000001913
63    |    -1.57382519588135     6.89731532756638  |  -0.0000000002023   0.0000000001841
64    |    11.09705888087099     5.84866676286397  |  -0.0000000001978   0.0000000001951
65    |    -3.45577458544264     8.07217329696535  |  -0.0000000001918   0.0000000001750
66    |    -6.87462523885688    -2.04137685961453  |  -0.0000000002068   0.0000000001918
67    |     7.44657432714033    -6.86492291025637  |  -0.0000000001876   0.0000000001824
68    |     1.03322947268741     7.84121210769944  |  -0.0000000002017   0.0000000001955
69    |    -6.49857572075086    -7.00334784480949  |  -0.0000000001688   0.0000000001812
70    |     1.60731761338184     0.12545356844917  |  -0.0000000002022   0.0000000001724
71    |    -7.06856335995062    -8.79529815102135  |  -0.0000000001856   0.0000000001866
72    |    -7.46939351595106     2.28329982963457  |  -0.0000000001933   0.0000000001824
73    |    -3.54038930376935     5.95918825504956  |  -0.0000000001826   0.0000000001777
74    |     6.55667313837075   -17.32524364023327  |  -0.0000000002063   0.0000000001914
75    |    -9.83091871265513    -0.84649456674658  |  -0.0000000001633   0.0000000001987
76    |    -4.66776918625888    -3.70924427173067  |  -0.0000000001854   0.0000000001724
77    |     4.56997760033257     0.54476712994943  |  -0.0000000001756   0.0000000001913
78    |    -6.32765794340298    -4.88125890527248  |  -0.0000000001813   0.0000000001826
79    |    -8.11597609270691    -4.47146500786750  |  -0.0000000001638   0.0000000001904
80    |   -10.30068547906222     5.47269258777961  |  -0.0000000001716   0.0000000001719
81    |    11.09913300706370    -6.26153059544008  |  -0.0000000001704   0.0000000001755
82    |    -6.37643007134968     6.06616517414853  |  -0.0000000001861   0.0000000001765
